category,total_base_buyers,raw_buyers,is_branded,is_client,skuname_ean,0007218063473,0007218063429,0007192182379,0007218063471,0007218063811,0007218063810,0007218056624,0007192121457,0007192119331,0007218073366,0007192123298,0004280011400,0004280011600,0007218073429,0007465379187,0007218063469,0007218056638,0007218056611,0007192192580,0007218073367,0007218063244,0004280011520,0007218063813,0007218063979,0007192179354,0007570615101,0004280010800,0004280043589,0007192174374,0007218063322,0007465339393,0087037500507,0007218063975,0007192120374,0007218063717,0007192101669,0007218063983,0004280048591,0007192134403,0007570615103,0007192197185,0004280010700,0007465330890,0007218056625,0007192162491,0007218063069,0007570615108,0007218076174,0001380050223,0065512220174
Frozen Pizza,120000000,2285,1,0,0007218063473,"53,20,845",1137557.307,899730.015,895750.1532,1419203.369,619282.3387,805858.2965,283343.3053,277848.1736,589023.0582,341588.264,545357.8902,279636.6754,83145.62866,371223.3113,433858.44,176890.3237,411986.8448,356642.7135,141028.3517,431366.9347,209722.9071,454936.098,420407.9644,411865.7739,295302.3379,111511.0153,245979.4816,150902.4291,677492.9703,159863.772,78877.83551,140697.4481,328636.6503,423361.2416,192013.0019,176256.3358,105780.78,152286.0101,111564.1068,303943.3167,120630.4449,113024.7949,435149.4405,119158.5378,139156.0944,108501.9944,147254.4002,152606.186,22309.18286
Frozen Pizza,120000000,1998,1,0,0007218063429,1137557.307,4530575.335,399856.5472,710100.6544,678593.8115,1324683.157,635390.8195,647131.4647,207701.8281,209358.8687,230213.4796,216218.1105,175957.8841,103966.5331,178972.1518,398843.3715,318502.201,318777.8105,208417.4375,94748.4184,168374.1746,319481.6087,302219.4111,243318.6785,232020.9555,166733.4774,120364.8559,54435.85431,136274.587,379733.5023,85515.64844,74553.33209,130052.7473,163806.15,170138.5488,79065.7854,378058.423,46632.91418,81291.11084,72249.8468,118190.9565,88330.53625,262175.292,263733.7369,118137.3561,146213.4229,80328.44189,120359.5626,62459.16302,27685.75671
Frozen Pizza,120000000,1971,1,1,0007192182379,899730.015,399856.5472,4373961.623,305721.397,782950.9182,327644.7659,293701.678,852215.2665,743379.4675,265706.1609,809910.8783,275929.2263,130211.4727,84137.32587,250102.0565,140634.7035,119237.7638,225096.5515,472937.1053,111086.1486,223770.4715,128857.6882,200554.6143,561738.3777,461649.4235,248965.4998,95420.11926,130632.2142,194141.1608,203542.0493,86152.00226,71846.98608,226003.5953,592400.045,188747.392,143178.9767,262124.9249,56025.97034,161890.6291,112022.8739,164389.9755,75387.55481,129173.7355,194741.6723,110857.6909,190689.1693,107648.3281,46852.85889,152900.4294,20641.39124
Frozen Pizza,120000000,2119,1,0,0007218063471,895750.1532,710100.6544,305721.397,4164005.286,569814.1716,423296.2785,805878.0428,145894.008,540261.0788,171790.9487,348797.2651,180038.6243,207157.8425,95038.12979,227403.8394,859718.0282,125268.3846,845405.8412,161580.447,240828.4645,147421.2886,137546.4166,375599.1861,186707.5994,144549.3857,121299.8363,141635.3392,77837.94476,161943.2765,282244.9969,143860.9102,64854.65558,385885.3115,102725.4977,211418.6338,51082.17084,125320.5491,75001.38409,329015.3334,179785.4419,126441.0988,195897.584,116653.3338,297422.2311,92096.70679,132601.4303,109054.4293,46622.6001,71411.00861,17594.34808
Frozen Pizza,120000000,1746,1,0,0007218063811,1419203.369,678593.8115,782950.9182,569814.1716,3999743.972,879930.7657,520941.2529,320880.832,172496.5077,355125.344,359520.6707,338862.6905,136656.3132,115955.5621,327202.5773,337543.943,190217.1301,440932.2361,251387.9478,100298.97,308216.9441,167956.2062,476748.5418,380430.6031,283287.9625,207672.2025,76718.55023,179137.3508,94293.43964,430005.4792,115077.8043,77012.84247,117480.6105,350127.3665,278458.8863,122421.1894,175870.6105,64375.06384,93557.17487,61210.91522,195474.9003,50524.88928,133997.871,305194.7419,136488.3629,139437.0566,90787.44208,88196.38928,155732.7608,18500.27863
Frozen Pizza,120000000,1509,1,0,0007218063810,619282.3387,1324683.157,327644.7659,423296.2785,879930.7657,3582483.207,423778.0929,692479.6359,141364.9218,169006.8343,181558.7147,162461.4576,106633.9228,81790.99414,161981.6105,270834.8053,301377.2736,389427.2626,139037.0576,102915.4247,128537.6586,237301.4675,377868.7424,214251.9973,126012.52,144121.2109,89582.40479,74370.44861,73155.22803,242308.3409,78734.91876,48568.42664,110756.1032,122516.5203,102264.3629,81314.99432,407397.455,39948.0769,56729.57098,75532.78735,87384.30219,82669.71649,200842.8256,175552.6526,141934.7363,134605.731,84133.06586,108894.9964,65795.54736,10442.4931
Frozen Pizza,120000000,1698,1,0,0007218056624,805858.2965,635390.8195,293701.678,805878.0428,520941.2529,423778.0929,3473116.751,133543.7233,258952.3312,143630.5344,467674.2906,204429.3918,260029.4006,59592.95453,185828.2255,477918.3993,79821.30096,388820.4171,166099.7027,106426.7369,110381.0639,127060.3579,669133.333,128983.569,150459.1724,87610.66058,187843.8305,78366.2417,212950.9297,290414.9653,175258.5795,36040.68469,174597.8205,118587.3424,141235.4088,48169.83771,89055.84253,125746.3104,162842.0308,98838.32013,136426.7451,109810.6619,95571.51038,505433.4124,88994.81427,120222.3484,215368.3561,49620.66431,75854.34015,16690.89545
Frozen Pizza,120000000,1437,1,1,0007192121457,283343.3053,647131.4647,852215.2665,145894.008,320880.832,692479.6359,133543.7233,3367460.289,437462.3759,73239.36426,451546.6031,160387.9702,73934.75537,99135.86115,105768.2145,120178.825,164785.8887,104470.1431,205323.5072,42700.43726,70161.0072,184160.9914,104950.1396,247914.4329,229021.1699,101543.4902,73980.19324,51505.81158,123379.1799,107784.2781,55834.50781,28095.20001,120428.8545,203931.5606,60015.93549,97265.44684,500338.2482,21437.41406,90462.45441,42952.52368,45843.53284,50809.27374,200378.4758,69163.83575,127603.0925,150025.7728,91094.57764,79652.67908,69185.50616,22317.36688
Frozen Pizza,120000000,1650,1,1,0007192119331,277848.1736,207701.8281,743379.4675,540261.0788,172496.5077,141364.9218,258952.3312,437462.3759,3320383.568,118349.8148,841783.6823,112311.4485,134908.6509,37696.71967,87174.90668,378962.9608,49954.11108,342308.9484,186353.1947,148926.9332,76860.68048,61994.62299,128639.1495,199568.8478,118369.8112,94316.5047,62606.88251,54118.69971,172052.0605,81998.49359,66466.30359,53414.06598,427620.5037,173091.3206,71857.60187,62770.51672,142591.7153,64401.60126,273019.4686,171459.8272,64138.34961,109129.933,32609.31573,129807.7295,87828.11615,200116.6908,82829.42096,10012.48108,41337.67999,15801.22113
Frozen Pizza,120000000,1455,1,0,0007218073366,589023.0582,209358.8687,265706.1609,171790.9487,355125.344,169006.8343,143630.5344,73239.36426,118349.8148,3257281.195,137497.3205,335770.7501,178926.9137,58959.64948,111483.0809,85936.45801,655599.6138,98356.34375,214709.3523,578884.0158,505746.5039,134919.6707,86971.15161,157353.3687,126574.382,89214.38226,80931.55774,158497.2585,81905.64362,160422.3667,57197.93231,36402.92816,48207.39221,100557.2009,146282.474,297683.8229,63656.62134,51989.44415,54353.74188,35659.25671,111317.636,62344.04126,49993.93494,67370.19,70562.06763,43133.43549,29099.25214,152341.8295,161971.747,8093.429993
Frozen Pizza,120000000,1577,1,1,0007192123298,341588.264,230213.4796,809910.8783,348797.2651,359520.6707,181558.7147,467674.2906,451546.6031,841783.6823,137497.3205,3235328.114,174001.3799,155379.4587,92602.94965,132006.8063,210523.33,70681.68091,198819.7507,189305.0192,67324.70233,95341.71936,89179.91168,280206.3886,253083.075,183038.0106,127638.7133,99432.71722,58870.00592,309200.4511,114966.7233,108293.2639,92296.87146,171683.8284,270080.7661,69457.90216,63568.23767,147400.4277,50312.12927,171671.8529,94572.6373,65577.00586,87430.36963,53449.32147,199116.8298,107027.2098,113967.6597,159257.5675,21219.00812,75770.99884,14199.38397
Frozen Pizza,120000000,1344,1,0,0004280011400,545357.8902,216218.1105,275929.2263,180038.6243,338862.6905,162461.4576,204429.3918,160387.9702,112311.4485,335770.7501,174001.3799,3168836.893,716942.592,40561.1839,257748.4645,91659.76392,121860.1691,94533.45007,239862.1454,90699.38934,216212.591,639617.1579,115444.1863,150716.4996,134296.9949,114221.4034,470227.2715,519863.2604,137062.2432,113213.6272,115269.1924,45588.69482,63602.16827,67213.07971,252003.0842,115706.8454,66568.46503,154648.5894,49574.15918,45226.95111,124277.566,339625.9348,112109.3,110956.8294,90413.81726,65278.20081,44981.82007,75174.50412,91734.0946,4127.241028
Frozen Pizza,120000000,1275,1,0,0004280011600,279636.6754,175957.8841,130211.4727,207157.8425,136656.3132,106633.9228,260029.4006,73934.75537,134908.6509,178926.9137,155379.4587,716942.592,2738691.67,76598.89502,103436.0202,106193.4202,72279.52954,96938.7052,90487.08044,105459.1981,90102.16888,425272.2242,143038.6432,57090.52472,69753.45941,53719.62189,744253.5974,161251.2736,113238.362,57642.85596,113038.6837,53873.93719,59827.36755,63575.72968,102060.9846,73945.56372,43457.19104,345342.403,52132.23676,39494.18884,79341.5072,543636.2886,80747.48865,162953.3205,36741.54962,73730.84796,61074.75598,57560.1087,72906.70392,9062.776001
Frozen Pizza,120000000,1030,1,0,0007218073429,83145.62866,103966.5331,84137.32587,95038.12979,115955.5621,81790.99414,59592.95453,99135.86115,37696.71967,58959.64948,92602.94965,40561.1839,76598.89502,2699659.016,58753.54608,70421.7453,36069.81415,32590.43787,33453.78168,37478.36719,32466.90009,49495.34766,62277.33246,61883.74854,76913.15125,54062.61816,43870.40881,27164.62457,22502.23291,25320.56506,44609.13275,372693.3871,33766.08276,48588.86353,20273.50183,17913.99677,62661.05109,28911.92419,23201.31689,32651.65808,37866.26563,28545.26373,54902.1532,20297.94403,23816.60681,40098.05505,15269.94312,130525.9543,29342.39783,198618.5877
Frozen Pizza,120000000,1147,1,1,0007465379187,371223.3113,178972.1518,250102.0565,227403.8394,327202.5773,161981.6105,185828.2255,105768.2145,87174.90668,111483.0809,132006.8063,257748.4645,103436.0202,58753.54608,2574436.582,53398.02094,87498.47058,105444.7143,148816.0673,50557.73553,148570.7502,128931.3613,89616.2771,90053.4621,120391.3788,87445.37341,95119.28717,119108.3215,121252.5502,133316.7105,639455.5425,23494.89709,49596.54694,55920.98291,214803.4131,53693.04382,25200.0769,75587.95068,66879.06592,33331.68304,321387.6486,68314.59381,588624.873,86447.3479,47624.5874,39076.3678,36350.91003,34019.5639,50947.01483,26460.31604
Frozen Pizza,120000000,1360,1,0,0007218063469,433858.44,398843.3715,140634.7035,859718.0282,337543.943,270834.8053,477918.3993,120178.825,378962.9608,85936.45801,210523.33,91659.76392,106193.4202,70421.7453,53398.02094,2515264.199,58548.85645,465807.733,53330.43536,135662.6767,86788.98633,69713.42261,246134.6568,106936.6263,92356.21692,82718.33289,85421.33258,51110.49255,69802.40631,181990.7763,73351.92957,32461.90851,257812.6924,52717.435,96332.43414,33096.52881,79047.91492,51990.87994,245150.2535,172331.6379,34545.65997,103333.7059,42703.56799,200192.3528,73294.42627,119525.6102,124107.7381,34093.64667,34152.22797,13362.67181
Frozen Pizza,120000000,1094,1,0,0007218056638,176890.3237,318502.201,119237.7638,125268.3846,190217.1301,301377.2736,79821.30096,164785.8887,49954.11108,655599.6138,70681.68091,121860.1691,72279.52954,36069.81415,87498.47058,58548.85645,2419505.938,58823.55682,102453.1708,380710.4258,221245.3207,137028.4548,38322.45618,68110.34644,46034.91101,27507.2677,40095.40717,33018.65582,88984.40503,40724.14178,33148.7063,5440.649963,31299.47522,41928.25824,42614.81482,174243.8358,75350.95538,36255.26886,18963.98291,27618.57104,36932.91394,47805.1662,81482.55927,32531.07593,44802.60052,15054.953,35407.26093,110569.3574,99132.5766,0
Frozen Pizza,120000000,1226,1,0,0007218056611,411986.8448,318777.8105,225096.5515,845405.8412,440932.2361,389427.2626,388820.4171,104470.1431,342308.9484,98356.34375,198819.7507,94533.45007,96938.7052,32590.43787,105444.7143,465807.733,58823.55682,2410308.565,92163.11829,178582.7237,83741.30359,65184.55206,319927.8021,134941.7403,72154.11591,90895.75519,68830.04041,50167.89502,81091.60614,169495.5727,51935.26434,23207.37512,222930.253,100012.1548,90791.50623,40836.69421,83111.5,69460.01044,171769.8867,148045.699,35515.43414,134297.5662,61685.3277,155081.9787,68908.83527,80070.15985,81509.65131,36184.90143,43758.52979,10522.36407
